rank,player,season,games_played,tgt,incompletion_rate,int_rate,target_rate,yds_per_tgt,avg_rat,pca_score
1,Xavien Howard,2020,16,101,0.38613861386138615,0.09900990099009901,0.1111111111111111,7.118811881188119,58.13125,3.394125671399567
2,Jaire Alexander,2020,14,80,0.475,0.0125,0.08281573498964803,4.6875,67.54285714285714,2.986555839183435
3,Jalen Ramsey,2020,14,71,0.4788732394366197,0.014084507042253521,0.06531738730450783,4.985915492957746,71.04285714285714,2.953173602424522
4,Darious Williams,2020,15,72,0.4027777777777778,0.05555555555555555,0.07886089813800658,7.333333333333333,75.88666666666667,1.746866872536885
5,Kendall Fuller,2020,14,85,0.3411764705882353,0.047058823529411764,0.08799171842650104,6.5058823529411764,75.10000000000001,1.6060735331492628
6,Xavier Rhodes,2020,16,81,0.4567901234567901,0.024691358024691357,0.09142212189616253,6.950617283950617,77.175,1.529880600907449
7,Tre'Davious White,2020,14,65,0.38461538461538464,0.046153846153846156,0.061669829222011384,6.984615384615385,79.86153846153846,1.5062369456087392
8,Joe Haden,2020,14,79,0.46835443037974683,0.02531645569620253,0.09349112426035502,7.075949367088608,78.02857142857144,1.4863967980042014
9,Jamel Dean,2020,14,70,0.37142857142857144,0.014285714285714285,0.08293838862559241,5.714285714285714,84.24285714285715,1.1735212769627341
10,Jason Verrett,2020,13,75,0.30666666666666664,0.02666666666666667,0.09351620947630923,6.053333333333334,76.4,1.164210312765863
11,Michael Davis,2020,16,104,0.36538461538461536,0.028846153846153848,0.10855949895615867,6.961538461538462,76.58125,0.9418825614384334
12,Jourdan Lewis,2020,14,79,0.3670886075949367,0.0,0.0966952264381885,5.367088607594937,85.66428571428571,0.8898353830902
13,William Jackson III,2020,14,74,0.47297297297297297,0.013513513513513514,0.0835214446952596,7.418918918918919,83.77857142857144,0.8587853907175531
14,James Bradberry,2020,14,91,0.3516483516483517,0.03296703296703297,0.11234567901234568,6.450549450549451,82.42142857142858,0.8311209542422493
15,Marshon Lattimore,2020,14,85,0.4470588235294118,0.023529411764705882,0.09239130434782608,7.364705882352941,84.5,0.8020209692377633
16,Marcus Peters,2020,14,86,0.313953488372093,0.046511627906976744,0.09071729957805907,7.290697674418604,78.56428571428572,0.7945644425571049
17,Marlon Humphrey,2020,15,106,0.37735849056603776,0.009433962264150943,0.14402173913043478,6.1415094339622645,78.88666666666667,0.7292444060077751
18,Ronald Darby,2020,16,98,0.45918367346938777,0.0,0.09133271202236719,7.295918367346939,81.9875,0.6283811959070253
19,Charvarius Ward,2020,14,56,0.42857142857142855,0.0,0.05919661733615222,7.107142857142857,86.48571428571428,0.48039311476896457
20,Jackrabbit Jenkins,2020,13,80,0.375,0.0375,0.0936768149882904,8.1375,81.62307692307692,0.4494530568417629
21,Dre Kirkpatrick,2020,14,94,0.30851063829787234,0.031914893617021274,0.12876712328767123,7.0212765957446805,78.03571428571429,0.3825043014556206
22,Trayvon Mullen,2020,15,87,0.3563218390804598,0.022988505747126436,0.1001150747986191,6.942528735632184,85.94666666666667,0.282628214906059
23,Carlton Davis,2020,14,105,0.34285714285714286,0.0380952380952381,0.10076775431861804,8.142857142857142,80.47142857142856,0.27546154506618586
24,Mackensie Alexander,2020,13,56,0.2857142857142857,0.017857142857142856,0.08722741433021806,7.107142857142857,79.53076923076924,0.13493171625127962
25,Troy Hill,2020,16,91,0.26373626373626374,0.03296703296703297,0.08227848101265822,7.010989010989011,83.76875,0.10674853154036246
26,Taron Johnson,2020,16,79,0.31645569620253167,0.012658227848101266,0.08254963427377221,6.974683544303797,84.88125000000001,0.00893130986734411
27,Steven Nelson,2020,15,98,0.3979591836734694,0.02040816326530612,0.1180722891566265,7.469387755102041,89.34,-0.08260187260707394
28,Malcolm Butler,2020,16,127,0.33858267716535434,0.031496062992125984,0.16888297872340424,6.874015748031496,87.44375,-0.20588409515024272
29,Chandon Sullivan,2020,14,56,0.30357142857142855,0.017857142857142856,0.07115628970775095,7.214285714285714,88.74285714285715,-0.2437529847326041
30,Nik Needham,2020,13,64,0.3125,0.03125,0.10372771474878444,8.5625,83.30000000000001,-0.3873582657194578
31,Byron Jones,2020,14,73,0.3698630136986301,0.0273972602739726,0.09694555112881806,10.616438356164384,88.71428571428571,-0.6507912672638517
32,Nevin Lawson,2020,14,67,0.3283582089552239,0.0,0.09103260869565218,7.208955223880597,91.1923076923077,-0.7046353140916198
33,Amani Oruwariye,2020,15,86,0.3953488372093023,0.011627906976744186,0.08365758754863813,9.406976744186046,91.08,-0.8292647179523117
34,Patrick Peterson,2020,15,79,0.2911392405063291,0.0379746835443038,0.07632850241545894,8.379746835443038,94.85333333333332,-0.832002157959838
35,Terrance Mitchell,2020,16,99,0.41414141414141414,0.0,0.08483290488431877,8.333333333333334,95.8875,-0.8712945340647005
36,Kenny Moore,2020,16,101,0.2376237623762376,0.039603960396039604,0.10990206746463548,8.376237623762377,87.8,-0.949481331670586
37,Michael Ojemudia,2020,14,88,0.38636363636363635,0.0,0.12171507607192254,9.261363636363637,94.82142857142857,-1.5500607826093307
38,Jason McCourty,2020,15,45,0.35555555555555557,0.0,0.06766917293233082,9.266666666666667,102.07857142857142,-1.8027120884437358
39,Tre Herndon,2020,16,77,0.3116883116883117,0.0,0.08740068104426787,8.480519480519481,101.03750000000001,-1.8965543470220976
40,Vernon Hargreaves III,2020,16,107,0.308411214953271,0.009345794392523364,0.12063134160090191,8.476635514018692,100.15625,-1.920786928463676
41,Jeff Gladney,2020,15,88,0.29545454545454547,0.0,0.09272918861959958,8.295454545454545,102.49333333333334,-2.0562454557704037
42,Isaiah Oliver,2020,16,90,0.3,0.0,0.1171875,8.277777777777779,103.75,-2.2674662727829697
43,Darius Slay,2020,15,90,0.2222222222222222,0.011111111111111112,0.10180995475113122,9.455555555555556,98.72666666666667,-2.5194363970754377
44,AJ Terrell,2020,14,106,0.32075471698113206,0.009433962264150943,0.15892053973013492,8.830188679245284,106.42857142857143,-2.606464324171734
45,Sean Murphy-Bunting,2020,16,100,0.22,0.01,0.1,9.42,102.08125,-2.7419366307825985
46,Nickell Robey-Coleman,2020,14,52,0.21153846153846154,0.0,0.08496732026143791,9.423076923076923,104.54285714285713,-3.025198778504072
1,Jamel Dean,2021,14,66,0.48484848484848486,0.030303030303030304,0.08019441069258809,4.833333333333333,58.542857142857144,3.463977240458644
2,J.C. Jackson,2021,17,106,0.4339622641509434,0.07547169811320754,0.10642570281124498,6.2075471698113205,62.06470588235294,3.122393509782145
3,AJ Terrell,2021,16,86,0.46511627906976744,0.03488372093023256,0.083984375,4.848837209302325,66.85625,2.94227550912173
4,Eric Stokes,2021,16,97,0.4948453608247423,0.010309278350515464,0.0980788675429727,5.268041237113402,70.95,2.4354319801482585
5,Adoree' Jackson,2021,13,73,0.4657534246575342,0.0136986301369863,0.08968058968058969,4.835616438356165,69.73076923076923,2.4244449095927285
